path,folder,file,ext,codec,container,sample_rate,channels,bit_depth,bitrate_kbps,duration_seconds,peak_dbfs,rms_dbfs,speech_level_dbfs,noise_floor_dbfs,snr_db_est,leading_silence_s,trailing_silence_s,longest_internal_silence_s,silence_ratio,clip_runs,quality_grade,flags,exact_duplicates,likely_duplicates,decode_error,size,sha1
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.37.mp3,dge_linked/sumadhva_vijaya,smv10.37.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.285,-0.69,-16.34,-17.51,-35.0,23.1,0.24,0.39,0.43,0.223,0,B,[],[],[],,22570,0810f511fdebf42c7b986d3f79d8c3e1208930e4
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.38.mp3,dge_linked/sumadhva_vijaya,smv10.38.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,14.785,-0.12,-17.0,-19.31,-37.46,25.1,0.39,1.43,1.43,0.209,0,B,[],[],[],,29571,aae962b62ef11a05559ef2c77596f014982f19b9
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.39.mp3,dge_linked/sumadhva_vijaya,smv10.39.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,15.36,-0.39,-17.09,-19.84,-38.74,26.4,0.24,1.45,1.45,0.203,0,B,[],[],[],,30720,2d01b272ed0c97cdc093da356e19e4120e72a38f
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.4.mp3,dge_linked/sumadhva_vijaya,smv10.4.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,14.367,-0.61,-17.22,-17.75,-32.74,20.0,0.45,0.11,0.72,0.304,0,B,[],[],[],,28735,67cc43e86cbc689420ce7a71a035a2c0027e175a
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.40.mp3,dge_linked/sumadhva_vijaya,smv10.40.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,14.681,-0.84,-16.81,-18.13,-36.51,23.8,0.52,1.6,1.6,0.243,0,B,[],[],[],,29362,4ab7048e53d91474e6dd620fd550214e984ee649
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.41.mp3,dge_linked/sumadhva_vijaya,smv10.41.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,1.672,-24.93,-39.82,-39.84,-78.55,42.3,0.19,0.11,0.19,0.182,0,B,"[""low_volume""]",[],[],,3344,7463854cf9661a3840898ff6881c80459cee9a88
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.42.mp3,dge_linked/sumadhva_vijaya,smv10.42.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,14.681,-0.83,-16.71,-19.18,-37.26,25.4,0.51,1.56,1.56,0.261,0,B,[],[],[],,29362,a087530395b758219b5b9e12ea965e957f35ffe2
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.43.mp3,dge_linked/sumadhva_vijaya,smv10.43.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,15.569,-1.19,-17.61,-19.9,-37.02,24.2,0.22,1.47,1.47,0.283,0,B,[],[],[],,31138,2ff7cf6a510a8d70ebf79725dc613f6d9a167280
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.44.mp3,dge_linked/sumadhva_vijaya,smv10.44.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,16.823,-0.31,-16.85,-19.19,-40.4,27.7,0.33,0.1,0.68,0.179,0,B,[],[],[],,33646,3eb704cb6f01b74dfa7787c213b22af671b13c6b
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.45.mp3,dge_linked/sumadhva_vijaya,smv10.45.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,19.174,-0.53,-16.11,-17.0,-34.49,22.5,0.32,0.74,1.01,0.232,0,B,[],[],[],,38348,1f25c6cb579a67662c36c38fa5e55d8664972b54
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.46.mp3,dge_linked/sumadhva_vijaya,smv10.46.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,12.121,-1.0,-15.96,-17.47,-36.24,25.2,0.22,0.78,0.78,0.276,0,B,[],[],[],,24242,d6bc7aee0a8c9b6d402c216f126b8013779701c5
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.47.mp3,dge_linked/sumadhva_vijaya,smv10.47.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.815,-0.74,-15.67,-16.43,-35.16,23.8,0.28,0.47,0.47,0.285,0,B,[],[],[],,21629,4a0e5377e6f8d711f669108c3854c790d30c5d06
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.48.mp3,dge_linked/sumadhva_vijaya,smv10.48.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.449,-1.19,-17.01,-17.56,-36.94,24.4,0.58,0.54,0.71,0.284,0,B,[],[],[],,20898,b9528ded5e2a23d0a56a7e8b8a99b7cbe4648f4a
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.49.mp3,dge_linked/sumadhva_vijaya,smv10.49.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,17.763,-0.62,-16.55,-16.9,-32.53,20.5,0.31,0.68,0.68,0.313,0,B,[],[],[],,35527,ae3ef5cdeb888eb994960bf1e7b15c9be19f239b
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.5.mp3,dge_linked/sumadhva_vijaya,smv10.5.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.397,-0.73,-16.8,-17.63,-34.02,21.9,0.4,0.11,0.77,0.262,0,B,[],[],[],,20793,8bfc9c77f82275be00ed8751935022d7f41c7b11
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.50.mp3,dge_linked/sumadhva_vijaya,smv10.50.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,25.548,-0.62,-17.19,-18.47,-35.36,22.8,0.71,1.25,1.25,0.303,0,B,[],[],[],,51096,a7986d9625a3ee49c466048a840e77429c7ec3df
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.51.mp3,dge_linked/sumadhva_vijaya,smv10.51.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,12.852,-0.76,-15.91,-17.48,-34.77,23.6,0.36,0.63,0.63,0.246,0,B,[],[],[],,25704,cc9fac210a0dab8160a3dbbfac33c3f9e8b9e926
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.52.mp3,dge_linked/sumadhva_vijaya,smv10.52.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,16.875,0.65,-16.32,-17.66,-34.29,22.9,0.3,0.67,0.67,0.253,0,B,[],[],[],,33750,b737a4b8a59e429d1b06da31c01d9869948b95a7
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.53.mp3,dge_linked/sumadhva_vijaya,smv10.53.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,13.27,-0.37,-16.31,-16.77,-34.97,22.9,0.23,0.65,0.8,0.312,0,B,[],[],[],,26540,c54b6aaa878334d34d79c345fb8d3b1457f5b306
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.54.mp3,dge_linked/sumadhva_vijaya,smv10.54.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,19.853,-0.6,-16.56,-17.12,-33.04,20.5,0.27,0.49,0.49,0.225,0,B,[],[],[],,39706,d412f49d72b719718147540f561a043afb78e6e6
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.55.mp3,dge_linked/sumadhva_vijaya,smv10.55.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,14.524,-0.56,-16.9,-17.22,-34.65,22.2,0.36,0.57,1.07,0.323,0,B,[],[],[],,29048,b1290bd21379619139688a70be9bf4686da6fcfa
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.56.mp3,dge_linked/sumadhva_vijaya,smv10.56.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,17.45,-0.14,-15.79,-16.69,-33.9,22.2,0.25,0.5,0.61,0.204,0,B,[],[],[],,34900,19df6b1dd4915a9976b08c28ffcd0cf30ef10486
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.6.mp3,dge_linked/sumadhva_vijaya,smv10.6.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.128,-0.69,-16.09,-16.25,-31.73,19.4,0.22,1.4,1.4,0.192,0,B,[],[],[],,22256,6affc4ecb0750ac94fe8d764ad11930fd4c5a633
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.7.mp3,dge_linked/sumadhva_vijaya,smv10.7.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,14.054,-0.97,-17.22,-18.13,-33.98,21.5,0.41,0.78,0.78,0.316,0,B,[],[],[],,28108,4aa340bd831cb086205ae305b609fb88aebde7cf
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.8.mp3,dge_linked/sumadhva_vijaya,smv10.8.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,16.144,0.14,-17.5,-18.76,-35.12,22.5,0.31,0.73,0.73,0.295,0,B,[],[],[],,32287,d08f0318befd6ab344bf3798c70c6b3f78aed747
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv10.9.mp3,dge_linked/sumadhva_vijaya,smv10.9.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,16.98,-0.38,-16.08,-17.06,-35.59,24.0,0.54,0.7,0.7,0.255,0,B,[],[],[],,33959,e8e1b9096caa35ae98a332bbfeaa3935bfb0b27c
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.1.mp3,dge_linked/sumadhva_vijaya,smv11.1.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.598,-0.41,-15.32,-16.07,-31.83,20.6,0.45,0.46,0.46,0.218,0,B,[],[],[],,23197,775e9b3cb77493a81d174946ff891c7bb34d6c37
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.10.mp3,dge_linked/sumadhva_vijaya,smv11.10.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.397,-0.65,-16.11,-17.01,-31.69,19.8,0.24,0.38,0.38,0.221,0,B,[],[],[],,20793,489dd593e1b12f094e7f0ca1cc2a20e929f1b02a
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.11.mp3,dge_linked/sumadhva_vijaya,smv11.11.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.24,-1.06,-17.24,-17.97,-32.58,20.0,0.26,0.35,0.35,0.275,0,B,[],[],[],,20480,14e232bc56f5e159a1d3c0f4d14d031293e55bab
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.12.mp3,dge_linked/sumadhva_vijaya,smv11.12.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.919,-0.69,-15.85,-16.92,-32.31,20.9,0.22,0.33,0.45,0.244,0,B,[],[],[],,21838,06a5504141bf8423d005b49b05206465d5abfdd9
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.13.mp3,dge_linked/sumadhva_vijaya,smv11.13.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.606,-0.5,-16.29,-17.0,-32.06,20.0,0.27,0.29,0.29,0.249,0,B,[],[],[],,21211,757f844fd2936a78cd403690ceb83c3c9de19d11
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.14.mp3,dge_linked/sumadhva_vijaya,smv11.14.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.285,-0.69,-16.21,-16.92,-33.05,20.9,0.29,0.3,0.3,0.19,0,B,[],[],[],,22570,9a7d37c190333fe03d304d911d055d2ce5204b2b
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.15.mp3,dge_linked/sumadhva_vijaya,smv11.15.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.815,-0.29,-17.06,-17.63,-32.98,20.0,0.22,0.32,0.38,0.228,0,B,[],[],[],,21629,bd0d2a93f1c5c4a14610c369e78e140fbb3fa37b
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.16.mp3,dge_linked/sumadhva_vijaya,smv11.16.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.71,-0.58,-16.54,-16.99,-32.43,19.6,0.34,0.43,0.43,0.213,0,B,[],[],[],,21420,7a409bcf021d27517e2452c26c6d349a738b5032
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.17.mp3,dge_linked/sumadhva_vijaya,smv11.17.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.083,-0.99,-16.45,-16.95,-32.41,19.7,0.3,0.34,0.34,0.212,0,B,[],[],[],,20167,8f4d00d1625bbd50d4d7dd3e7118a130df19dadf
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.18.mp3,dge_linked/sumadhva_vijaya,smv11.18.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.397,-0.13,-16.83,-17.76,-33.0,20.6,0.48,0.48,0.48,0.208,0,B,[],[],[],,20793,c42eb52b21d752241e0de7bba4dd7ff662875f87
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.19.mp3,dge_linked/sumadhva_vijaya,smv11.19.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.389,-0.86,-16.58,-17.5,-35.33,22.9,0.34,0.34,0.7,0.213,0,B,[],[],[],,22779,033c3370bdfdbe10165844c64c46cd33a4a375a1
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.2.mp3,dge_linked/sumadhva_vijaya,smv11.2.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.919,-1.14,-16.22,-17.08,-31.62,19.6,0.25,0.47,0.47,0.194,0,B,[],[],[],,21838,55ddd69522c2760245af83eb1c5a3fa781a78a1d
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.20.mp3,dge_linked/sumadhva_vijaya,smv11.20.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.345,-1.06,-16.21,-16.99,-31.76,19.6,0.24,0.33,0.33,0.212,0,B,[],[],[],,20689,6b423d55aad38e3feb9b3270608d8735e21defe6
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.21.mp3,dge_linked/sumadhva_vijaya,smv11.21.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.076,-1.14,-15.45,-16.06,-33.0,21.9,0.3,0.56,0.56,0.241,0,B,[],[],[],,22152,8d7daeac7c02be2159dbf5e756165cca10c99896
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.22.mp3,dge_linked/sumadhva_vijaya,smv11.22.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.24,-0.34,-15.83,-16.67,-32.34,20.6,0.26,0.34,0.34,0.206,0,B,[],[],[],,20480,55d2eadab5141be2791d9544cc1b5c8ba7f7d537
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.23.mp3,dge_linked/sumadhva_vijaya,smv11.23.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.71,-0.97,-15.79,-16.63,-32.92,21.2,0.3,0.32,0.32,0.178,0,B,[],[],[],,21420,dff1ba87b9c15daf036e2c2dc27f3fb29a04e455
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.24.mp3,dge_linked/sumadhva_vijaya,smv11.24.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.971,-1.13,-17.77,-19.05,-35.18,21.7,0.27,0.25,0.32,0.202,0,B,[],[],[],,21943,8c0c95b80ab1622f2ea61473d9223828c68d11a1
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.25.mp3,dge_linked/sumadhva_vijaya,smv11.25.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,10.815,-0.51,-17.3,-17.88,-32.21,19.1,0.27,0.24,0.37,0.222,0,B,[],[],[],,21629,687dbc3a66bc4b06493219847d8d87274b9fde7b
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.26.mp3,dge_linked/sumadhva_vijaya,smv11.26.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,9.927,-0.87,-18.56,-18.71,-31.11,15.8,0.21,0.29,0.35,0.232,0,B,[],[],[],,19853,9d77430baf0deafd499da7c0f1f47cfd0d880a5a
kamadhenu_dataset/incoming_audio/dge_linked/sumadhva_vijaya/smv11.27.mp3,dge_linked/sumadhva_vijaya,smv11.27.mp3,.mp3,mp3 (mp3float),mp3,11025,1,32,16,11.546,-0.83,-17.64,-18.31,-33.94,20.1,0.2,0.32,0.59,0.206,0,B,[],[],[],,23092,4aee51b010f1a0c35dfa836e1f850ca32ee33e95
